force,torque,pow,rpm,vel,uts,fpr
5926.9482,12.816,2.473161,997.5886,59.28,221.5021,0.059423293
4425.9966,6.319,2.465269,2547.7297,59.681,188.5268,0.023425169
5409.2861,11.125,2.470859,999.6064,43.373,224.5843,0.043390078
6064.2144,12.905,2.477107,999.042,76.79,229.4368,0.076863635
3501.9194,6.586,2.459022,2161.4021,51.098,171.4773,0.023641136
5619.2222,8.277,2.461323,1762.3365,78.049,205.0572,0.044287229
4412.8379,8.633,2.474805,1386.2394,37.308,191.0587,0.0269131
5239.7222,10.235,2.472832,1371.9868,74.901,188.4414,0.054593091
4032.7405,6.853,2.463954,1768.2626,40.684,190.3269,0.023007895
7125.5571,9.968,2.467242,1369.8986,100.822,233.2595,0.073598148
5863.8486,18.334,2.479408,599.3689,38.567,210.0918,0.064346015
5568.084,12.549,2.469544,999.7178,60.368,221.5021,0.060385041
4314.4492,9.167,2.471846,1380.749,63.686,192.8959,0.046124241
4666.7349,7.12,2.462639,2153.0234,101.795,211.9429,0.047280025
6305.5513,18.334,2.478751,599.096,45.719,214.6092,0.076313312
4681.9868,7.209,2.466256,2160.8213,96.874,211.9429,0.044832028
6050.458,17.622,2.471846,599.0142,50.926,214.6092,0.085016349
4696.9395,7.298,2.46231,2149.8784,80.624,207.3997,0.037501656
5061.7852,11.036,2.47349,999.7018,45.032,224.5843,0.045045433
6350.1099,17.889,2.484012,599.1665,48.008,214.6092,0.08012464
4303.9824,8.366,2.481053,1379.0878,38.338,191.0587,0.027799535
6153.6313,13.172,2.47908,998.9794,79.307,229.4368,0.079388023
4804.2998,11.125,2.471188,999.563,36.335,225.5982,0.036350885
7029.8599,9.968,2.466913,1366.7466,93.212,233.2595,0.068199914
3763.2927,7.743,2.474805,1381.604,50.983,199.8093,0.036901312
6940.1436,12.994,2.470202,998.4086,99.277,235.4119,0.099435241
4535.749,9.256,2.471188,1376.4753,62.599,192.8959,0.04547775
4825.5327,11.125,2.472174,998.7372,36.793,225.5982,0.036839521
6916.2192,7.476,2.461652,2543.262,202.961,225.6616,0.079803418
